RaceClass,RaceIDNumber,TrackName,TrackID,CupName,RacePosition,PlayerName,FixPlayerName,RacePoints,OldTotalScore,NewTotalScore
Demo_CaptureCard_Race,1,GCN Waluigi Stadium,79,Boomerang Cup,1,Blaasie,Blaasie,15,0,15
Demo_CaptureCard_Race,1,GCN Waluigi Stadium,79,Boomerang Cup,2,Bas,Bas,12,0,12
Demo_CaptureCard_Race,1,GCN Waluigi Stadium,79,Boomerang Cup,3,Pieter,Pieter,10,0,10
Demo_CaptureCard_Race,1,GCN Waluigi Stadium,79,Boomerang Cup,4,bokkie,bokkie,9,0,9
Demo_CaptureCard_Race,1,GCN Waluigi Stadium,79,Boomerang Cup,5,Gianni,Gianni,8,0,8
Demo_CaptureCard_Race,1,GCN Waluigi Stadium,79,Boomerang Cup,6,Erwin,Erwin,7,0,7
Demo_CaptureCard_Race,1,GCN Waluigi Stadium,79,Boomerang Cup,7,Mike,Mike,6,0,6
Demo_CaptureCard_Race,1,GCN Waluigi Stadium,79,Boomerang Cup,8,Brian,Brian,5,0,5
Demo_CaptureCard_Race,1,GCN Waluigi Stadium,79,Boomerang Cup,9,Christiaan,Christiaan,4,0,4
Demo_CaptureCard_Race,1,GCN Waluigi Stadium,79,Boomerang Cup,10,Erik,Erik,3,0,3
Demo_CaptureCard_Race,1,GCN Waluigi Stadium,79,Boomerang Cup,11,Menno,Menno,2,0,2
Demo_CaptureCard_Race,1,GCN Waluigi Stadium,79,Boomerang Cup,12,Thijmen,Thijmen,1,0,1
Divisie_1,1,Mario Kart Stadium,1,Mushroom Cup,1,Erik,Erik,15,0,15
Divisie_1,1,Mario Kart Stadium,1,Mushroom Cup,2,Gianni,Gianni,12,0,12
Divisie_1,1,Mario Kart Stadium,1,Mushroom Cup,3,Bas,Bas,10,0,10
Divisie_1,1,Mario Kart Stadium,1,Mushroom Cup,4,Mike,Mike,9,0,9
Divisie_1,1,Mario Kart Stadium,1,Mushroom Cup,5,Blaasie,Blaasie,8,0,8
Divisie_1,1,Mario Kart Stadium,1,Mushroom Cup,6,Christiaan,Christiaan,7,0,7
Divisie_1,1,Mario Kart Stadium,1,Mushroom Cup,7,Menno,Menno,6,0,6
Divisie_1,1,Mario Kart Stadium,1,Mushroom Cup,8,bokkie,bokkie,5,0,5
Divisie_1,1,Mario Kart Stadium,1,Mushroom Cup,9,Brian,Brian,4,0,4
Divisie_1,1,Mario Kart Stadium,1,Mushroom Cup,10,Pieter,Pieter,3,0,3
Divisie_1,1,Mario Kart Stadium,1,Mushroom Cup,11,Thijmen,Thijmen,2,0,2
Divisie_1,1,Mario Kart Stadium,1,Mushroom Cup,12,Erwin,Erwin,1,0,1
Divisie_1,2,Wii Wario's Gold Mine,41,Triforce Cup,1,Blaasie,Blaasie,15,8,23
Divisie_1,2,Wii Wario's Gold Mine,41,Triforce Cup,2,Bas,Bas,12,10,22
Divisie_1,2,Wii Wario's Gold Mine,41,Triforce Cup,3,Thijmen,Thijmen,10,2,12
Divisie_1,2,Wii Wario's Gold Mine,41,Triforce Cup,4,bokkie,bokkie,9,5,14
Divisie_1,2,Wii Wario's Gold Mine,41,Triforce Cup,5,Erwin,Erwin,8,1,9
Divisie_1,2,Wii Wario's Gold Mine,41,Triforce Cup,6,Pieter,Pieter,7,3,10
Divisie_1,2,Wii Wario's Gold Mine,41,Triforce Cup,7,Mike,Mike,6,9,15
Divisie_1,2,Wii Wario's Gold Mine,41,Triforce Cup,8,Gianni,Gianni,5,12,17
Divisie_1,2,Wii Wario's Gold Mine,41,Triforce Cup,9,Erik,Erik,4,15,19
Divisie_1,2,Wii Wario's Gold Mine,41,Triforce Cup,10,Christiaan,Christiaan,3,7,10
Divisie_1,2,Wii Wario's Gold Mine,41,Triforce Cup,11,Brian,Brian,2,4,6
Divisie_1,2,Wii Wario's Gold Mine,41,Triforce Cup,12,Menno,Menno,1,6,7
Divisie_1,3,Sunshine Airport,9,Star Cup,1,Gianni,Gianni,15,17,32
Divisie_1,3,Sunshine Airport,9,Star Cup,2,Erik,Erik,12,19,31
Divisie_1,3,Sunshine Airport,9,Star Cup,3,Pieter,Pieter,10,10,20
Divisie_1,3,Sunshine Airport,9,Star Cup,4,Thijmen,Thijmen,9,12,21
Divisie_1,3,Sunshine Airport,9,Star Cup,5,Mike,Mike,8,15,23
Divisie_1,3,Sunshine Airport,9,Star Cup,6,Menna,Menno,7,7,14
Divisie_1,3,Sunshine Airport,9,Star Cup,7,Biaasie,Blaasie,6,23,29
Divisie_1,3,Sunshine Airport,9,Star Cup,8,Erwin,Erwin,5,9,14
Divisie_1,3,Sunshine Airport,9,Star Cup,9,bokkie,bokkie,4,14,18
Divisie_1,3,Sunshine Airport,9,Star Cup,10,Christiaan,Christiaan,3,10,13
Divisie_1,3,Sunshine Airport,9,Star Cup,11,Bas,Bas,2,22,24
Divisie_1,3,Sunshine Airport,9,Star Cup,12,Brian,Brian,1,6,7
Divisie_1,4,Sky-High Sundae,64,Propeller Cup,1,Pieter,Pieter,15,20,35
Divisie_1,4,Sky-High Sundae,64,Propeller Cup,2,Gianni,Gianni,12,32,44
Divisie_1,4,Sky-High Sundae,64,Propeller Cup,3,Brian,Brian,10,7,17
Divisie_1,4,Sky-High Sundae,64,Propeller Cup,4,Biaasie,Blaasie,9,29,38
Divisie_1,4,Sky-High Sundae,64,Propeller Cup,5,Erik,Erik,8,31,39
Divisie_1,4,Sky-High Sundae,64,Propeller Cup,6,Menno,Menno,7,14,21
Divisie_1,4,Sky-High Sundae,64,Propeller Cup,7,Mike,Mike,6,23,29
Divisie_1,4,Sky-High Sundae,64,Propeller Cup,8,Erwin,Erwin,5,14,19
Divisie_1,4,Sky-High Sundae,64,Propeller Cup,9,Bas,Bas,4,24,28
Divisie_1,4,Sky-High Sundae,64,Propeller Cup,10,bokkie,bokkie,3,18,21
Divisie_1,4,Sky-High Sundae,64,Propeller Cup,11,Thijmen,Thijmen,2,21,23
Divisie_1,4,Sky-High Sundae,64,Propeller Cup,12,Christiaan,Christiaan,1,13,14
Divisie_1,5,GBA Sky Garden,55,Lucky Cat Cup,1,Blaasie,Blaasie,15,38,53
Divisie_1,5,GBA Sky Garden,55,Lucky Cat Cup,2,Menno,Menno,12,21,33
Divisie_1,5,GBA Sky Garden,55,Lucky Cat Cup,3,Bas,Bas,10,28,38
Divisie_1,5,GBA Sky Garden,55,Lucky Cat Cup,4,bokkie,bokkie,9,21,30
Divisie_1,5,GBA Sky Garden,55,Lucky Cat Cup,5,Pieter,Pieter,8,35,43
Divisie_1,5,GBA Sky Garden,55,Lucky Cat Cup,6,Mike,Mike,7,29,36
Divisie_1,5,GBA Sky Garden,55,Lucky Cat Cup,7,Envin,Erwin,6,19,25
Divisie_1,5,GBA Sky Garden,55,Lucky Cat Cup,8,Brian 7,Brian,5,17,22
Divisie_1,5,GBA Sky Garden,55,Lucky Cat Cup,9,Erik,Erik,4,39,43
Divisie_1,5,GBA Sky Garden,55,Lucky Cat Cup,10,Thijmen,Thijmen,3,23,26
Divisie_1,5,GBA Sky Garden,55,Lucky Cat Cup,11,Gianni,Gianni,2,44,46
Divisie_1,5,GBA Sky Garden,55,Lucky Cat Cup,12,Christiaan,Christiaan,1,14,15
Divisie_1,6,DS Cheep Cheep Beach,27,Shell Cup,1,Gianni,Gianni,15,46,61
Divisie_1,6,DS Cheep Cheep Beach,27,Shell Cup,2,Biaasie,Blaasie,12,53,65
Divisie_1,6,DS Cheep Cheep Beach,27,Shell Cup,3,Bas,Bas,10,38,48
Divisie_1,6,DS Cheep Cheep Beach,27,Shell Cup,4,Brian,Brian,9,22,31
Divisie_1,6,DS Cheep Cheep Beach,27,Shell Cup,5,Mike,Mike,8,36,44
Divisie_1,6,DS Cheep Cheep Beach,27,Shell Cup,6,Menna,Menno,7,33,40
Divisie_1,6,DS Cheep Cheep Beach,27,Shell Cup,7,Thijmen,Thijmen,6,26,32
Divisie_1,6,DS Cheep Cheep Beach,27,Shell Cup,8,Erik,Erik,5,43,48
Divisie_1,6,DS Cheep Cheep Beach,27,Shell Cup,9,Pieter,Pieter,4,43,47
Divisie_1,6,DS Cheep Cheep Beach,27,Shell Cup,10,Erwin,Erwin,3,25,28
Divisie_1,6,DS Cheep Cheep Beach,27,Shell Cup,11,Christiaan,Christiaan,2,15,17
Divisie_1,6,DS Cheep Cheep Beach,27,Shell Cup,12,bokkie,bokkie,1,30,31
Divisie_1,7,GCN Baby Park,21,Crossing Cup,1,Biaasie,Blaasie,15,65,80
Divisie_1,7,GCN Baby Park,21,Crossing Cup,2,bokkie,bokkie,12,31,43
Divisie_1,7,GCN Baby Park,21,Crossing Cup,3,Menno,Menno,10,40,50
Divisie_1,7,GCN Baby Park,21,Crossing Cup,4,Erik,Erik,9,48,57
Divisie_1,7,GCN Baby Park,21,Crossing Cup,5,Christiaan,Christiaan,8,17,25
Divisie_1,7,GCN Baby Park,21,Crossing Cup,6,Erwin,Erwin,7,28,35
Divisie_1,7,GCN Baby Park,21,Crossing Cup,7,Brian,Brian,6,31,37
Divisie_1,7,GCN Baby Park,21,Crossing Cup,8,Bas,Bas,5,48,53
Divisie_1,7,GCN Baby Park,21,Crossing Cup,9,Mike,Mike,4,44,48
Divisie_1,7,GCN Baby Park,21,Crossing Cup,10,Pieter,Pieter,3,47,50
Divisie_1,7,GCN Baby Park,21,Crossing Cup,11,Gianni,Gianni,2,61,63
Divisie_1,7,GCN Baby Park,21,Crossing Cup,12,Thijmen,Thijmen,1,32,33
Divisie_1,8,3DS Piranha Plant Pipeway,38,Lightning Cup,1,Brian,Brian,15,37,52
Divisie_1,8,3DS Piranha Plant Pipeway,38,Lightning Cup,2,Menna,Menno,12,50,62
Divisie_1,8,3DS Piranha Plant Pipeway,38,Lightning Cup,3,Pieter,Pieter,10,50,60
Divisie_1,8,3DS Piranha Plant Pipeway,38,Lightning Cup,4,Thijmen,Thijmen,9,33,42
Divisie_1,8,3DS Piranha Plant Pipeway,38,Lightning Cup,5,Mike,Mike,8,48,56
Divisie_1,8,3DS Piranha Plant Pipeway,38,Lightning Cup,6,Blaasie,Blaasie,7,80,87
Divisie_1,8,3DS Piranha Plant Pipeway,38,Lightning Cup,7,Giannm,Gianni,6,63,69
Divisie_1,8,3DS Piranha Plant Pipeway,38,Lightning Cup,8,Bas,Bas,5,53,58
Divisie_1,8,3DS Piranha Plant Pipeway,38,Lightning Cup,9,Erik,Erik,4,57,61
Divisie_1,8,3DS Piranha Plant Pipeway,38,Lightning Cup,10,Erwin,Erwin,3,35,38
Divisie_1,8,3DS Piranha Plant Pipeway,38,Lightning Cup,11,bokkie,bokkie,2,43,45
Divisie_1,8,3DS Piranha Plant Pipeway,38,Lightning Cup,12,Christiaan,Christiaan,1,25,26
Divisie_1,9,GBA Ribbon Road,46,Bell Cup,1,Bas,Bas,15,58,73
Divisie_1,9,GBA Ribbon Road,46,Bell Cup,2,Blaasie,Blaasie,12,87,99
Divisie_1,9,GBA Ribbon Road,46,Bell Cup,3,Mike,Mike,10,56,66
Divisie_1,9,GBA Ribbon Road,46,Bell Cup,4,Pieter,Pieter,9,60,69
Divisie_1,9,GBA Ribbon Road,46,Bell Cup,5,Brian,Brian,8,52,60
Divisie_1,9,GBA Ribbon Road,46,Bell Cup,6,Menno,Menno,7,62,69
Divisie_1,9,GBA Ribbon Road,46,Bell Cup,7,Christiaan,Christiaan,6,26,32
Divisie_1,9,GBA Ribbon Road,46,Bell Cup,8,Erik,Erik,5,61,66
Divisie_1,9,GBA Ribbon Road,46,Bell Cup,9,bokkie,bokkie,4,45,49
Divisie_1,9,GBA Ribbon Road,46,Bell Cup,10,Gianni,Gianni,3,69,72
Divisie_1,9,GBA Ribbon Road,46,Bell Cup,11,Thijmen,Thijmen,2,42,44
Divisie_1,9,GBA Ribbon Road,46,Bell Cup,12,Erwin,Erwin,1,38,39
Divisie_1,10,Wii Wario's Gold Mine,41,Triforce Cup,1,Blaasia,Blaasie,15,99,114
Divisie_1,10,Wii Wario's Gold Mine,41,Triforce Cup,2,Gianni,Gianni,12,72,84
Divisie_1,10,Wii Wario's Gold Mine,41,Triforce Cup,3,Mike,Mike,10,66,76
Divisie_1,10,Wii Wario's Gold Mine,41,Triforce Cup,4,Pieter,Pieter,9,69,78
